time_ns;time_s;Length
5213287300;5,2132873;14,69784885
987643800;0,9876438;nan
11563550200;11,5635502;14,59528079
6248896700;6,2488967;14,70383843
934433500;0,9344335;nan
871325800;0,8713258;nan
4653959900;4,6539599;nan
7639889800;7,6398898;15,32587037
4213177800;4,2131778;14,35399876
7431877900;7,4318779;14,5846723
9050204300;9,0502043;14,7631884
1574494900;1,5744949;nan
1199223600;1,1992236;nan
1036001700;1,0360017;nan
1007848100;1,0078481;nan
21463560500;21,4635605;nan
542628500;0,5426285;nan
415332500;0,4153325;nan
419755900;0,4197559;nan
414717500;0,4147175;nan
384670300;0,3846703;nan
4791451400;4,7914514;15,10584999
405133000;0,405133;nan
794625300;0,7946253;nan
1133624800;1,1336248;nan
409947200;0,4099472;nan
1507495500;1,5074955;nan
875587100;0,8755871;nan
3211784600;3,2117846;nan
4724979000;4,724979;14,78550504
465676100;0,4656761;nan
2296934200;2,2969342;nan
2641557000;2,641557;14,80745056
380407300;0,3804073;nan
403004900;0,4030049;nan
1586973600;1,5869736;14,63541321
4638289200;4,6382892;15,09025952
2361707200;2,3617072;nan
10636954500;10,6369545;14,84426858
2402312300;2,4023123;14,47346643
400133300;0,4001333;nan
4747033700;4,7470337;14,46005238
5879353600;5,8793536;14,17141987
12683485100;12,6834851;14,44640606
5605181700;5,6051817;15,22458305
4843859900;4,8438599;14,07422111
8496185300;8,4961853;14,18937843
6757277600;6,7572776;15,29795155
642001300;0,6420013;nan
6472758200;6,4727582;14,49400937
2552922400;2,5529224;14,53122377
1797006400;1,7970064;nan
2689016500;2,6890165;nan
1312534000;1,312534;nan
9557087100;9,5570871;13,96145081
2904767800;2,9047678;14,24035839
1570122100;1,5701221;14,14418863
2470409700;2,4704097;14,2442483
3435042300;3,4350423;14,70648458
481145300;0,4811453;nan
2432008800;2,4320088;nan
3290041000;3,290041;nan
476307800;0,4763078;nan
1795272100;1,7952721;14,69938503
5886054900;5,8860549;14,9100756
10198536100;10,1985361;14,31446079
721508400;0,7215084;nan
9955424100;9,9554241;14,42585259
1173349100;1,1733491;nan
414760500;0,4147605;nan
391728000;0,391728;nan
1569188600;1,5691886;14,1667522
3735204000;3,735204;15,08851778
486627600;0,4866276;nan
2547918000;2,547918;14,37261838
2877234700;2,8772347;14,54087245
1236596000;1,236596;nan
5799039200;5,7990392;14,59526063
8181277500;8,1812775;14,21209192
6162035500;6,1620355;15,06760456
4008233000;4,008233;14,77185879
749008800;0,7490088;nan
6378223900;6,3782239;14,5952382
4986996900;4,9869969;14,51223915
12232642700;12,2326427;14,69065284
795790700;0,7957907;nan
6346268800;6,3462688;14,48381331
388467000;0,388467;nan
465696400;0,4656964;nan
7987455700;7,9874557;13,98174294
454027100;0,4540271;nan
473885000;0,473885;nan
1232094800;1,2320948;nan
397879300;0,3978793;nan
426180000;0,42618;nan
371997700;0,3719977;nan
444952700;0,4449527;nan
2016269400;2,0162694;14,53127868
465748900;0,4657489;nan
1048739600;1,0487396;nan
;;
;3,392329183;
